kommun;year;status
0581;2024;balance
0582;2024;shortage
0583;2024;shortage
0584;2024;shortage
0586;2024;shortage
0604;2024;balance
0617;2024;balance
0642;2024;balance
0643;2024;shortage
0662;2024;balance
0665;2024;shortage
0680;2024;shortage
0682;2024;balance
0683;2024;balance
0684;2024;surplus
0685;2024;shortage
0686;2024;shortage
0687;2024;shortage
0760;2024;balance
0761;2024;balance
0763;2024;surplus
0764;2024;balance
0765;2024;surplus
0767;2024;balance
0780;2024;balance
0781;2024;surplus
0821;2024;balance
0834;2024;balance
0840;2024;shortage
0860;2024;shortage
0861;2024;balance
0862;2024;shortage
0880;2024;shortage
0881;2024;balance
0882;2024;balance
0883;2024;balance
0884;2024;balance
0885;2024;shortage
0980;2024;shortage
1060;2024;balance
1080;2024;shortage
1081;2024;balance
1082;2024;shortage
1083;2024;shortage
1214;2024;shortage
1230;2024;shortage
1231;2024;shortage
1233;2024;shortage
1256;2024;balance
1257;2024;balance
1260;2024;balance
1261;2024;shortage
1262;2024;shortage
1263;2024;shortage
1264;2024;shortage
1265;2024;balance
1266;2024;shortage
1267;2024;balance
1270;2024;shortage
1272;2024;balance
1273;2024;surplus
1275;2024;balance
1276;2024;balance
1277;2024;shortage
1278;2024;shortage
1280;2024;shortage
1281;2024;shortage
1282;2024;balance
1283;2024;shortage
1284;2024;shortage
1285;2024;balance
1286;2024;balance
1287;2024;shortage
1290;2024;balance
1291;2024;balance
1292;2024;balance
1293;2024;balance
1315;2024;balance
1380;2024;shortage
1381;2024;balance
1382;2024;shortage
1383;2024;shortage
1384;2024;shortage
1401;2024;shortage
1402;2024;shortage
1407;2024;shortage
1415;2024;shortage
1419;2024;shortage
1421;2024;shortage
1427;2024;shortage
1430;2024;balance
1435;2024;balance
1438;2024;balance
1439;2024;balance
1440;2024;shortage
1441;2024;shortage
1442;2024;shortage
1443;2024;shortage
1444;2024;balance
1445;2024;shortage
1446;2024;shortage
1447;2024;balance
1452;2024;shortage
1460;2024;surplus
1461;2024;balance
1462;2024;shortage
1463;2024;shortage
1465;2024;balance
1466;2024;balance
1470;2024;shortage
1471;2024;shortage
1472;2024;shortage
1473;2024;balance
1480;2024;shortage
1481;2024;balance
1482;2024;balance
1484;2024;shortage
1485;2024;balance
1486;2024;balance
1487;2024;balance
1488;2024;balance
1489;2024;shortage
1490;2024;balance
1491;2024;balance
1492;2024;balance
1493;2024;shortage
1494;2024;shortage
1495;2024;balance
1496;2024;balance
1497;2024;shortage
1498;2024;balance
1499;2024;balance
1715;2024;shortage
1730;2024;balance
1737;2024;shortage
1760;2024;balance
1761;2024;shortage
1762;2024;balance
1763;2024;balance
1764;2024;shortage
1765;2024;surplus
1766;2024;balance
1780;2024;balance
1781;2024;shortage
1782;2024;surplus
1783;2024;balance
1784;2024;balance
1785;2024;surplus
1814;2024;shortage
1860;2024;surplus
1861;2024;shortage
1862;2024;balance
1863;2024;surplus
1880;2024;shortage
1881;2024;shortage
1882;2024;shortage
1883;2024;shortage
1884;2024;shortage
1885;2024;balance
1904;2024;balance
1907;2024;shortage
1960;2024;shortage
1961;2024;shortage
1962;2024;shortage
1980;2024;balance
1982;2024;balance
1983;2024;balance
1984;2024;balance
2021;2024;shortage
2023;2024;shortage
2026;2024;balance
2029;2024;shortage
2031;2024;shortage
2034;2024;shortage
2039;2024;balance
2061;2024;balance
2062;2024;shortage
2080;2024;balance
2081;2024;balance
2082;2024;shortage
2083;2024;surplus
2084;2024;balance
2085;2024;balance
2101;2024;surplus
2104;2024;balance
2121;2024;balance
2132;2024;shortage
2161;2024;balance
2180;2024;balance
2181;2024;balance
2182;2024;balance
2183;2024;balance
2184;2024;shortage
2260;2024;shortage
2262;2024;balance
2280;2024;balance
2281;2024;balance
2282;2024;shortage
2283;2024;surplus
2284;2024;shortage
2303;2024;balance
2305;2024;balance
2309;2024;balance
2313;2024;surplus
2321;2024;shortage
2326;2024;shortage
2361;2024;surplus
2380;2024;shortage
2401;2024;balance
2403;2024;shortage
2404;2024;shortage
2409;2024;shortage
2417;2024;shortage
2418;2024;balance
2421;2024;balance
2422;2024;balance
2425;2024;balance
2460;2024;shortage
2462;2024;balance
2463;2024;balance
2480;2024;shortage
2481;2024;surplus
2482;2024;shortage
2505;2024;balance
2506;2024;shortage
2510;2024;balance
2513;2024;balance
2514;2024;shortage
2518;2024;balance
2521;2024;shortage
2523;2024;shortage
2560;2024;balance
2580;2024;shortage
2581;2024;shortage
2582;2024;balance
2583;2024;surplus
2584;2024;shortage
0114;2025;shortage
0115;2025;shortage
0117;2025;shortage
0120;2025;shortage
0123;2025;balance
0125;2025;shortage
