kommun;period;key;count;per100k
0120;1999;burglary;768;2572.0
0120;1999;drugs_weapons;76;254.0
0120;1999;person;440;1474.0
0120;1999;theft;2199;7365.0
0120;1999;total;3274;10965.0
0120;1999;vandalism;327;1095.0
0120;2000;burglary;659;2140.0
0120;2000;drugs_weapons;99;321.0
0120;2000;person;350;1137.0
0120;2000;theft;1840;5976.0
0120;2000;total;3059;9935.0
0120;2000;vandalism;375;1218.0
0120;2001;burglary;535;1689.0
0120;2001;drugs_weapons;39;123.0
0120;2001;person;433;1367.0
0120;2001;theft;1656;5228.0
0120;2001;total;2941;9284.0
0120;2001;vandalism;399;1260.0
0120;2002;burglary;461;1424.0
0120;2002;drugs_weapons;70;217.0
0120;2002;person;408;1260.0
0120;2002;theft;1487;4592.0
0120;2002;total;2670;8246.0
0120;2002;vandalism;238;735.0
0120;2003;burglary;481;1462.0
0120;2003;drugs_weapons;63;191.0
0120;2003;person;427;1298.0
0120;2003;theft;1657;5037.0
0120;2003;total;2812;8547.0
0120;2003;vandalism;260;790.0
0120;2004;burglary;572;1703.0
0120;2004;drugs_weapons;89;265.0
0120;2004;person;439;1307.0
0120;2004;theft;1699;5059.0
0120;2004;total;2827;8418.0
0120;2004;vandalism;261;777.0
0120;2005;burglary;449;1302.0
0120;2005;drugs_weapons;131;380.0
0120;2005;person;567;1644.0
0120;2005;theft;1812;5255.0
0120;2005;total;3307;9591.0
0120;2005;vandalism;349;1012.0
0120;2006;burglary;366;1035.0
0120;2006;drugs_weapons;234;661.0
0120;2006;person;600;1696.0
0120;2006;theft;1778;5027.0
0120;2006;total;3547;10029.0
0120;2006;vandalism;367;1038.0
0120;2007;burglary;289;795.0
0120;2007;drugs_weapons;238;655.0
0120;2007;person;664;1827.0
0120;2007;theft;1448;3985.0
0120;2007;total;3553;9778.0
0120;2007;vandalism;450;1238.0
0120;2008;burglary;471;1269.0
0120;2008;drugs_weapons;328;884.0
0120;2008;person;724;1950.0
0120;2008;theft;1685;4539.0
0120;2008;total;3868;10419.0
0120;2008;vandalism;424;1142.0
0120;2009;burglary;385;1025.0
0120;2009;drugs_weapons;170;453.0
0120;2009;person;793;2111.0
0120;2009;theft;1645;4379.0
0120;2009;total;3867;10294.0
0120;2009;vandalism;545;1451.0
0120;2010;burglary;329;865.0
0120;2010;drugs_weapons;290;762.0
0120;2010;person;787;2070.0
0120;2010;theft;1402;3687.0
0120;2010;total;3444;9056.0
0120;2010;vandalism;413;1086.0
0120;2011;burglary;463;1200.0
0120;2011;drugs_weapons;381;988.0
0120;2011;person;821;2127.0
0120;2011;theft;1855;4806.0
0120;2011;total;4366;11312.0
0120;2011;vandalism;518;1342.0
0120;2012;burglary;369;943.0
0120;2012;drugs_weapons;468;1196.0
0120;2012;person;735;1878.0
0120;2012;theft;1733;4428.0
0120;2012;total;4088;10444.0
0120;2012;vandalism;418;1068.0
0120;2013;burglary;324;818.0
0120;2013;drugs_weapons;330;833.0
0120;2013;person;696;1758.0
0120;2013;theft;1554;3926.0
0120;2013;total;3710;9372.0
0120;2013;vandalism;349;882.0
0120;2014;burglary;408;1016.0
0120;2014;drugs_weapons;387;963.0
0120;2014;person;764;1902.0
0120;2014;theft;1620;4034.0
0120;2014;total;3883;9668.0
0120;2014;vandalism;338;842.0
0120;2015;burglary;365;894.0
0120;2015;drugs_weapons;518;1269.0
0120;2015;person;817;2001.0
0120;2015;theft;1575;3858.0
0120;2015;total;4132;10121.0
0120;2015;vandalism;384;941.0
0120;2016;burglary;469;1129.0
0120;2016;drugs_weapons;276;664.0
0120;2016;person;816;1964.0
0120;2016;theft;1715;4127.0
0120;2016;total;4448;10704.0
0120;2016;vandalism;784;1887.0
0120;2017;burglary;395;925.0
0120;2017;drugs_weapons;221;518.0
0120;2017;person;741;1734.0
0120;2017;theft;1679;3930.0
0120;2017;total;3920;9176.0
0120;2017;vandalism;436;1021.0
0120;2018;burglary;357;813.0
0120;2018;drugs_weapons;438;997.0
0120;2018;person;744;1694.0
0120;2018;theft;1491;3395.0
0120;2018;total;3844;8752.0
0120;2018;vandalism;410;934.0
0120;2019;burglary;241;539.0
0120;2019;drugs_weapons;422;944.0
0120;2019;person;735;1644.0
0120;2019;theft;1357;3036.0
0120;2019;total;3693;8262.0
0120;2019;vandalism;373;834.0
0120;2020;burglary;365;806.0
0120;2020;drugs_weapons;345;761.0
0120;2020;person;764;1687.0
0120;2020;theft;1567;3460.0
0120;2020;total;4323;9547.0
0120;2020;vandalism;860;1899.0
0120;2021;burglary;338;736.0
0120;2021;drugs_weapons;406;884.0
0120;2021;person;860;1874.0
0120;2021;theft;1201;2617.0
0120;2021;total;4015;8747.0
0120;2021;vandalism;768;1673.0
0120;2022;burglary;436;941.0
0120;2022;drugs_weapons;307;662.0
0120;2022;person;807;1741.0
0120;2022;theft;1353;2919.0
0120;2022;total;3862;8333.0
0120;2022;vandalism;559;1206.0
0120;2023;burglary;469;1008.0
0120;2023;drugs_weapons;328;704.0
0120;2023;person;845;1815.0
0120;2023;theft;1378;2960.0
0120;2023;total;4157;8931.0
0120;2023;vandalism;498;1070.0
0120;2024;burglary;310;665.0
0120;2024;drugs_weapons;312;669.0
0120;2024;person;890;1909.0
0120;2024;theft;1259;2701.0
0120;2024;total;4413;9467.0
0120;2024;vandalism;621;1332.0
0120;2025;burglary;378;811.0
0120;2025;drugs_weapons;449;963.0
0120;2025;person;1050;2252.0
0120;2025;theft;1378;2956.0
